article,content,target
"地之秽者多生物,水之清者常无鱼,故君子当存含垢纳污之量,不可持好洁独行之操。  洪应明", ,0
"胡适的《人权与约法》一文促使国民党在＂治权行使之规律案＂中规定＂人民之生命财产与身体之自由,皆受法律之保障,非经合法程序,不得剥夺..,＂", ,0
"(1/2)[中年感悟]：年幼時,以為记得牢是真本事,过目不忘是真天才！中年後,逐漸領悟到忘得掉才是真幸福！忘不了別人的闲言闲語,人生會披上一层灰色陰影;忘不掉傷心的往事,精神会慢慢忧郁。勤修健忘之功：忘掉過去的輝煌,這是謙卑；忘掉已往的失敗,這是勇气；忘掉從前的创伤,這是宽恕；忘", ,0
"(2/2)掉昔日的罪过,這是感恩；忘掉朋友的不周,這是大度；忘掉仇敌的攻击,這是爱心。“記”是聪明；“忘”是智慧。", ,0
"（春秋）左丘明《国语方铩罚骸暗拢Ｖ病！ 积德是福。积德,不一定能发大财,做大官,成大名,但能帮人抒困解难,使心胸坦然；想得开,放得下,做,该做的事,得,应得到的,活的自在；身子正,脚跟稳,心无愧疚,淡定自然,睡得香甜；行正道,济众生,多积德,可致远。", ,0
"人的一生中：少一些痛苦,多一些幸福；少一些疑惑,多一些理解；少一些苦恼,多一些开窍；少一些烦躁,多一些欢乐；少生些怨气,多一些友谊；少发一些脾气,多找一些乐趣；少讨一些没趣儿,多增一些自律；少产生些妄想,多生成些希望；少一些精神的空虚,多一些心理的充实；少生些个人的恩怨,多一些人间的和睦。", ,0
【安慰自己的10句温馨话】1、用心做自己该做的事；2、每个人都有自己的活法；3、别总是自己跟自己过不去；4、不要过于计较别人的评价；5、不妨暂时丢开烦心事；6、自己感觉幸福就是幸福。7、最重要的是今天的心；8、木已成舟便要顺其自然；9、不必一味讨好别人；10、喜欢自己才会拥抱生活。, ,0
"《精彩语录》 6、一切问题,最终都是时间问题；一切烦恼,其实都是自寻烦恼。 7、若是无法成为一支铅笔,书写别人的快乐,那就尽力变成一块橡皮,抹去人们的悲伤。 8、你想过普通的生活,就会遇到普通的挫折；你想过最好的生活,就会遇上最强的挫折。", ,0
"《精彩语录》 6、一切问题,最终都是时间问题；一切烦恼,其实都是自寻烦恼。 7、若是无法成为一支铅笔,书写别人的快乐,那就尽力变成一块橡皮,抹去人们的悲伤。 8、你想过普通的生活,就会遇到普通的挫折；你想过最好的生活,就会遇上最强的挫折。", ,0
"《精彩语录》 1、我总把手表调快一分钟,因为我喜欢走在时间的前面。 2、别总把悲伤挂在嘴上,每个人都有自己的故事。 3、大道理人人都懂,小情绪难以自控。 4、生活将我们磨圆,就是为了让我们滚得更远。 5、与其祈求生活平淡点,还不如祈求自己强大点。", ,0
"【人生需要放下的八种心理】：1、放下压力。2、放下烦恼快乐其实很简单。3、放下自卑。4、放下懒惰奋斗改变命运。5、放下消极绝望向左,希望向右。6、放下抱怨与其抱怨,不如努力。7、放下犹豫立即行动,成功无限。8、放下狭隘心宽,天地就宽。", ,0
课间休息。, ,0
"⒈常【哈哈】的人,长得就比较喜庆；2.常【嘿嘿】的人,无人能与你争傻；⒊常【嘻嘻】的人,可爱得有点天真；⒋常【啧啧】的人,单纯又性感；⒌常【吼吼】的人,你和嘿嘿有的一拼；⒍常【哼哼】的人,又坏又可爱；⒎常【呜呜】的人,装可爱失败；⒏常【呵呵】的人,恭喜你,装逼成功.", ,0
"[云水情怀]：曉月時對窗翻卷,是我翻書還是書閱我？夏日泛舟,以荷為傘,沉睡不知光陰之須臾；秋日遠足,最好迷失而不知歸途；向晚庭院,倚靠相背,閒話短長；踏入花徑,無需知曉前途方向；雪夜裡,生暖爐,闭门读趣书,靜聞雪落無痕。足矣。", ,0
"佛《菩萨戒经》云：“未曾于彼起微恨心,常具慈悲而用观察。” 不计较是道。人只有不计较得失、名利,才胸怀坦荡；不计较,无烦恼,无挂碍；不计较才有平常心,才能淡定如初；人间不是“事事如意”,而是不如意者多；只有忍得住,耐得下,才可忍辱精进,增上缘,续慧命。", ,0
"改变环境的努力往往遭遇悲惨,而改变自己头脑中的退缩观念则往往海阔天空。有时要改变世界,有时要改变自己。正确的选择决定进退。", ,0
"生命本是一场漂泊的旅程,遇见了谁,都是个美丽的意外,珍惜每一位可以称做朋友的人,因为那是可以让漂泊的心驻足的地方,也是上苍赐给最美丽的缘份,做朋友,不一定权位相比,但一定以诚相许,不一定形影不离,但一定常通消息,不一定经常相聚,但一定彼此惦记。", ,0
"心境简单了,就有心思经营生活；生活简单了,就有时间享受人生。我们要学会经营自己的生活,不是天天混日子,也不是天天熬日子,而是天天享受日子,这就需要经营日子。尘世中有太多的喜怒,太多的悲欢,太多的烦恼和痛苦。惟其如此,要活得简单才快乐。", ,0
"被人误解的时候能微微的一笑,这是一种素养；受委屈的时候能坦然的一笑,这是一种大度；吃亏的时候能开心的一笑,这是一种豁达；无奈的时候能达观的一笑,这是一种境界；危难的时候能泰然一笑,这是一种大气；被轻蔑的时候能平静的一笑,这是一种自信.", ,0
"幸福,就是在平淡中品味出来的幸福。用自己的眼睛发现,用自己的心灵品味。哪一天,能够为一朵不起眼的花开放而微笑,感叹造物者的精妙的时候,那是真的是平淡中的幸福了。", ,0
"锐气藏于胸,和气浮于面;才气见于事;义气施于人.", ,0
吉市长致辞。, ,0
吉林副市长参加京台企业合作论坛。, ,0
"窗外浓浓秋色,颇感南北温差。直奔国贸参会,两岸投资交流。", ,0
"虹桥机场的吸烟室,比首都机场人性化。", ,0
男厕所里的女人们。, ,0
"(2/2)任怨难,耐劳容易耐烦难。 祝周末快乐!", ,0
"(1/2)自悟： 1,生气是短暂的发疯。 2,脾气和嘴巴不好,心地再好也只算是个打七折的好人。 3,君子如水,随方就圆,人生无处不自在。 4,知识是个积累的过程,智慧是个简约的过程。 5,兄弟未比是朋友,朋友却一定是兄弟。 6,想拥有从未有过的东西,必须做从未做过的事情。 7,任劳容易", ,0
"(2/2)候只是一个形式,但却能给心灵带来温馨.一样的日子,一样的语调:你的幸福就是我的快乐!", ,0
"(1/2)人生最大的幸福,并非一条平顺舒坦的路;而是在坎坷的路上,寻获一群患难与共的同行者!一个决定改变自己,一份坚持改变家族,一份爱心改变别人.路虽远行则将至;事虽难做则必成.人生最大的快乐不是没有眼泪的生活,而是有一群为您擦眼泪的朋友.再美的日子没有人牵挂也是一种遗憾,也许问", ,0
"（宋）范仲淹《上时相议制举书》：“夫善国者,莫先育才；育才之方,莫先劝学。” 用人之道,莫先真才；真才之方,莫先实学；实学乃人才之基,无厚基难以至高。 “根之茂者其实遂,膏之沃者其光晔。”（韩愈）", ,0
"事穷势蹙之人,当原其初心;功成行满之士,要观其末路。  洪应明", ,0
(2/2)到的亲人！周末愉快~~, ,0
"(1/2)一生有万念,而定平生善恶者,数念而已；一生历万事,而证平生功过者,数事而已；一生破万卷,而使平生明道者,数卷而已；一生览万象,而令平生顿悟者,数象而已；一生存万端,而决平生成败者,数端而已；一生遇万人,而称平生知己者,数人而已。亲人是祖先留给我们的朋友,朋友是我们自己找", ,0
"微笑是颤动心田的弦,它能消解一切烦闷,也能缓解工作的疲惫！不妨让微笑走进你的世界,让快乐永存！周末好好歇歇！", ,0
"【下一秒的希望】人生就像一杯没有加糖的咖啡,喝起来是苦涩的,回味起来却有久久不会退去的余香；人生就是一场旅行,不在乎目的地,在乎的是沿途的风景以及看风景的心情；人生就是一条坎坷曲折的路,即使不断的跌倒,也一定要爬起来,坚持自己的梦想。记住,这一秒不放弃,下一秒就会有希望。", ,0
"(2/2)满阳光,洋溢着希望。人只能活一次！千万别活得太累！", ,0
"(1/2)人生载不动太多的烦恼和忧愁！惟有内心泰然、坦然,才能无往而不乐。如果我们能够持有一棵平常心,坐看云起云落、花开花谢,一任沧桑,就能获得一份云水悠悠的好心情。做平常事,做平凡人,保持平静的心态,保持平衡的心理,如果我们能以这种最美好的心情来对待每一天,则我们的每一天都会充", ,0
"【人生要五耐】1.耐冷：指世态炎凉。要忍得耐得,随遇而安；2.耐苦：苦有很多种。有安贫乐道的修养,应付种种苦难；3.耐噪：即浮躁。心静如水,保持一颗平常心,寻回心中净土；4.耐烦：人生难免陷入困惑。既要化解又要自我调整适,远离烦恼；5.耐忙：要有事可干。在人生中尽情享受忙碌的乐趣。", ,0
"《一虎一席谈*银行提高首套房贷利率是不是趁火打劫》 凤凰卫视中文台周六（11月5日）晚20：00首播,次日（周日）中午13：00重播。。再次感谢您对节目的支持！", ,0
"准备把上海的读书会放在正在装修中的北京东路280号。老的盐业银行旧址,新的金融博物馆。", ,0
"一句瑞典格言说：“我们都老得太快,却聪明得太迟。”生命中,大部分的美好事物都是短暂易逝的,享受它们,品尝它们,善待你周围的每一个人,别把时间浪费在等待所有难题的“完满结局”上。珍惜现在,善待自己。", ,0
"人生处世箴言  知足：平生修得随缘性,粗茶淡饭也知足；  安然：万事岂能尽人意,但求无愧吾自心；  时运：十年河东转河西,莫笑穷人穿破衣；  闲静：闲谈莫论人是非,静坐常思自已过；  随缘：缘由自我心中生,身无挂碍随缘安；  行善：地上种菜不长草,心中有善恶不生；", ,0
"独到之见,不囿旧说,不随众议；用自己的眼睛观察,用自己的大脑思维,用自己的推理判断；这是一种可贵的创造思维,有时会带来一个方面的重大改变。", ,0
"【禅语堂】生命中,总有些人,安然而来,静静守候,不离不弃；也有些人,浓烈如酒,疯狂似醉,却是醒来无处觅,来去都如风,梦过无痕。缘深缘浅,如此这般：无数的相遇,无数的别离,伤感良多,或许不舍,或许期待,或许无奈,终得悟,不如守拙以清心,淡然而浅笑。看花开花落、云卷云舒、缘来缘去。", ,0
"选择一个朋友,就是选择一种生活方式。自己修身养性是交到好朋友的前提,等于给自己打开了最友善的世界。能够让自己的人生具有光彩。真正的朋友不是在一起有聊不完的话,而是即使不说一句话也不觉得尴尬。", ,0
"【“二”的智慧】人生要结交二种人：一良师,二益友。能吃得下二样东西：一吃苦,二吃亏。把握二原则:一微观上问心无愧,二宏观上遵纪守法。争取二个极致：一把潜能发挥到极致,二把生命延续到极致。要做二件事：一要感恩,二是结缘。人生要迈二道坎：情与钱。要会二件事：学会挣钱,学会休息。", ,0
"身心八静： 静心能去浮躁,静思能除烦恼。 静观能得经验,静养能健心脑。 静默能明事理,静坐能躲干扰。 静处能消杂念,静读能走正道。", ,0
"读书会之后,签了几百本书。累但愉快着。", ,0
苏州活动现场。读书会即将开始。, ,0
"笑一笑,十年少。", ,0
王巍野心勃勃的要将公益博物馆发展到全世界。, ,0
新书已进了博物馆。, ,0
手模。, ,0
豪华基金博物馆。, ,0
"上海,阴沉沉的天,在半睡半醒之间。", ,0
"&lt;哲语&gt;1微笑和沉默是两个有效的武器：微笑能解决很多问题,沉默能避免许多问题。 2不要轻易把伤口揭开给别人看,因为别人看的是热闹,而痛的却是自己。 3成功的人不是赢在起点,而是赢在转折点。", ,0
(3/3)好!, ,0
"(2/3)5.世间的感情莫过于两种：一种是相濡以沫,却厌倦到终老；另一种是相忘于江湖,却怀念到哭泣。 6、爱的反面不是恨,而是漠然。 7、才+材+财=现代女性心目中的新理想男人。 8、勤奋但不讲究效率的结果就是：笨鸟先飞,然后不知所踪。 9、读书时,不可有己见；读书后,不可无己见。祝", ,0
"(1/3)《慧语分享》:1、黄昏之所以壮丽,在于它收集了整整一天的阳光。 2.每个人的生命过程都可以像一截木头,不同之处在于你是选择熊熊燃烧,还是慢慢腐朽。 3、千万不要把知识和智慧混淆,知识教你如何生存,智慧告诉你如何生活。 4、所谓年轻的心,就是总有一扇门敞开着,等待未来闯进…", ,0
"（汉）刘向《管子啡ㄐ蕖罚骸耙荒曛疲缡鞴龋皇曛疲缡髂荆恢丈碇疲缡魅恕！ 一年之计,莫如成事；十年之计,莫如成业；终身之计,莫如育才。 “治世不得真贤,譬犹治病不得真药也。”（东汉王符）无旷世之才,难成旷世之业。", ,0
"＂节俭,根据冯•施罗德的说法,是失业之源,理由是储蓄让金钱退出了流通。＂穆瑞•罗斯巴德", ,0
"人生无胜于有,处世无牵无挂,行事无拘无碍,身体无病无痛,生活无灾无厄,脾气无嗔无怒,心情无忧无虑,日子无愁无烦,祝快乐无时无刻。", ,0
"【为人尺度】1.可以相信别人,但不可以指望别人；2.不要拒绝善意,不要停止微笑；3.错误可以犯,但不可以重复犯；4.批评一定要接受,辱侮绝对不能接受。5.该说的要说,该哑的要哑,是一种聪明；7.该干的要干,该退的要退,是一种睿智；8.该显的要显,该藏的要藏,是一种境界。", ,0
"【这种人想不成功都难】1.别人谓为困难,你却视为挑战。2.别人借口连篇,你却主动执行。3.别人事不关己,你却乐于负责。4.别人三分干劲,你却十分卖力。5.别人不紧不慢,你却快马加鞭。6.别人注重分歧,你却精诚合作。7.别人诉说苦劳,你却呈献功劳。8.别人一蹶不振,你却永不言败。", ,0
“八然”人生观: )忙时井然、闲时自然; )顺多偶然、逆多必然; )得之坦然、失之怡然; )捧则淡然、贬则泰然。, ,0
"【真正的财富是一种思维方式】1.当你再没什么可失去时,就是你开始得到的时候；2.学习要加,骄傲要减,机会要乘,懒惰要除；3.1%的人是吃小亏而占大便宜,99%的人占小便宜吃大亏,大多数成功都源于那1%；4.一个人成功的前提是他有能力改变自己；5.真正的财富是一种思维方式,而不是月收入的数字。", ,0
"人的一生中会遇到不顺心的事,会碰到不顺眼的人,如果你不学会原谅,就会活得痛苦,活得累。原谅是一种风度,是一种情怀,它像一把伞,帮助你在雨季里行路。原谅是什么？原谅自己并不意味着对自己的放纵；原谅别人并不代表着丢弃原则；原谅生活并不是不热爱生活。犯错是平凡的,宽恕和原谅才是伟大的！", ,0
"1最宝贵的东西不是你拥有的物质,而是陪伴在你身边的人。2一时的错误可能导致一辈子的伤痛。3控制自己的态度和情绪,不然你就会被它们控制。4光让别人原谅你是不够的,有时候还要自己原谅自己。5不能强迫别人来爱自己,只能努力让自己成为值得爱的人,其余的事情则靠缘分。", ,0
"只要相信,期待就能成真；只要用力呼吸,就能看到奇迹；一个人的快乐不是因为他拥有的多,而是因为他计较的少。这一天的要求不多,惟愿你快乐！", ,0
"谢作诗院长：＂世界上,没有一个国家土地等重要生产要素公有而老百姓是富裕的；没有一个国家土地等重要生产要素公有而国内消费需求是旺盛的。＂讨论房价时不从土地公有出发是治表而不治根。", ,0
"酒能忘忧,茶可悟道,书能润心。茶亦醉人何必酒,书能香我不须花。心动如水时,是心灵在自洁着。心静如鉴时,是心灵在观照着。于是明白：虚空才高远,渺茫才伟大,无我方永恒。", ,0
"《法句经肥龇鹌贰匪担骸暗蒙说滥眩僖嗄训茫皇兰溆蟹鹉眩鸱训梦拧！ 人生得道难,参禅是福气。物欲横流,人心浮躁,禅理过滤纷繁,留下精神的闲适；禅静,驱除疲劳,刷掉 蒙尘,洗涤烦恼,保持人生超然的本真,让心灵拥有一块栖息的净土。", ,0
"其实失去也意味着一种得到：磨练换来成长,辛勤带来收获,泪水领略人生百味,挫折引领成功之路,遗憾又不失为另一种美丽……！仗义疏财,得到人心；肝胆相照,得到知心；淡泊名利,得到安心；清心寡欲,得到舒心。", ,0
《可贵之歌》:人见多了方知缘分可贵;事做多了方知学习可贵;挫折多了方知心态可贵;成功多了方知勇气可贵;矛盾多了方知胸怀可贵;委屈多了方知修炼可贵;恭维多了方知真诚可贵…名利多了方知淡定可贵；应酬多了方知宁静可贵；岁数大了方知童年可贵；, ,0
一出事就变成了临时工？难道临时工就可以免责吗？官员们该学点被委托不改变委托者责任的基本法律吧？, ,0
"【禅悟】当玻璃杯中装满牛奶,人们说：这是牛奶；当装满油时,人们又说：这是油！只有杯子空时,人们才看到杯子。同样,当我们心中装满学问、财富、权势、成就和偏见的时候,就不是自己了。往往拥有了一切,却不能拥有自己。", ,0
"百万大军涌入国考,是成功还是悲哀？", ,0
"&lt;做人&gt;1、不能过盛,得意时勿凌人,处高时莫自居,喜怒勿形于色,成败内敛于胸；2、不能过怨,能甘于檐下,可远离尘世,得失皆身外,是非置脑后；3、不能过衰,清不避浊,浑能扬清,不弃为人原则,固守尊严底线；4、不能过浓,追逐甚者易伤,贪欲多者难久,淡看庭前花开落,笑视天际云卷舒。", ,0
"朋友不一定要门当户对,但一定要同舟共济；不一定要形影不离,但一定要心心相惜；不一定要锦上添花,但一定要雪中送炭；不一定要天天见面,但一定要放在心里。友情最可贵的不是曾一同走过的岁月,友情最难得的是分别以后依然会时时想起。依然能记得---你,是我的朋友！", ,0
"人生在低谷中,一是能忍耐,二是能委曲求全；忍受屈辱,不是躺下什么都不做,而是在忍耐中反思,追踪索源,找出症结；在绝境中崛起,才是真正的智勇双全者。", ,0
"【经典禅语】1、发现自己的错误,就是开悟；改正自己的错误,就是成就。发现了所有的错误,就是彻悟；改正了所有的错误,就是圆满。2、多看自己的缺点,才能改正自己的错误；多看别人的优点,方能学到别人的功德。3、世界上没有什么完美,想开了想通了,就是完美。", ,0
"慧人 慧语 慧悟 1、人们是看你做什么,不是听你说什么。 2、要求别人是很痛苦的,要求自己是很快乐的。 3、不敢生气的是懦夫,不去生气的才是智者。 4、对于人来说,问心无愧是最舒服的枕头。 5、嫉妒他人,表明他人的成功,被人嫉妒,表明自己成功。", ,0
"言人：最不能忘记的,是在你最困难时拉你一把的人。 最不能结交的,是在你失败时藐视你的人。 最不能相信的,是在你成功时吹捧你的人。 最不能抛弃的,是和你同创业共患难的人。 最不能爱的,是不看重你人格的人。", ,0
"(2/2)同事争宠,不与下级争功。", ,0
"(1/2)人生三大遗憾：不会选择,不坚持选择,不断地选择；人生三不斗：不与君子斗名,不与小人斗利,不与天地斗巧；人生三修练：看得透想得开,拿得起放得下,立得正行得稳；人生三大陷阱：大意,轻信,贪婪；人生三大悲哀：遇良师不学,遇良友不交,遇良机不握。人生三大不争：不与领导争锋,不与", ,0
"什么偷走了中国人的快乐:1.缺乏信仰。2.总是比较。3.对美好事物不感动。4.不懂施舍。5.不知足。6.焦虑。7.压力大,标准高。8.不敢坚持做自己。9.得失心强。10.单调与规律。11.活得太闲或太忙。12.过分追求无益的快乐。13.过分向外追求物质快乐,而不是内心。14.情感受困。15.心灵封闭。", ,0
"最没有文化的是政府对文化的管制,最没有市场的是政府对市场的垄断。", ,0
"（南宋）朱熹《仁说》：“诚能体而存之,则众善之源,百行之本。” 善能体而存之,則众美之源,真诚之本；人志于文,必出于善,求于真,才会达于美；“人生无根蒂,飘如陌上尘。”（东晋诽赵鳎", ,0
"#早安#自己选择的路,再泥泞也要把它走完,或许,泥泞的路上也别有一番风景。所以,未来的路上,好好爱自己,好好珍惜自己。世界的一切不完美,坦然地去面对……", ,0
"人生苦短,要来得阻挡不了,要去的挽留不住。在这得失之间,只要你耕耘过,播种过,浇灌过,收获多少不是成败的唯一标准,重要的是藏在细枝末节里那种使你痛、使你恨、使你爱、使你终身难忘的一次次痛心疾首、刻骨铭心的经历。", ,0
"古语云：“有容乃大”,大海容纳百川众流,所以才能成为大海；虚空容纳森罗万象,所以才能成为虚空；做人要能包容异己,人格才能崇高。故人人处事能多一分包容谦让,就少一分倾轧障碍,甚至更要包容对方无心的错误,这也是处世的一种尊重。", ,0
"户籍制度是现行制度诸多不合理的因。户籍制度之后宪法取消了公民自由迁徒的权利,修改了土地的私有化。同时形成了教育,公共,粮食,商品等一系列的资源分配不合理的制度。至今许多如退休退养,劳保,就业,上学,购房等制度仍建立在户籍制度的基础上。户籍是因,不是果。治病要治因。", ,0
"絮语：学则不挑不拣,悟则用心用脑,做则随时随地,帮则无索无求,教则不厌其烦,改则面目全新。", ,0
"《独立宣言》人人皆＂秉造物主之赐,而享有种种不可剥夺之权利,其中包括生命权、自由权以及追寻幸福之权。＂", ,0
"庄子云：“今之隐机者,非昔日之隐机者也。” 世间万物,刹那无常；万事之变,利益也。有时瞬间变换,觉突然,也不尽然；背后有推收,遇事必有变。 事中变换,必有隐含；顺势而为,从善择断。", ,0
"＂在造就政治繁荣昌盛的所有品性和气质之中,宗教和道德都是不可或缺的。＂乔治•华盛顿。美国是一个由宗教难民和追寻宗教自由的人组成的国家,因此尊重宗教自由被写进了宪法。", ,0
"佛说,生命中的许多东西是可遇不可求,刻意强求的得不到,而不曾被期待的往往会不期而至。 因此,要拥有一颗安闲自在的心,一切随缘,顺其自然,不怨怒,不躁进,不过度,不强求,不悲观,不刻板,不慌乱,不忘形,不以物喜,不以己悲。", ,0
《可贵之歌》:人见多了方知缘分可贵;事做多了方知学习可贵;挫折多了方知心态可贵;成功多了方知勇气可贵;矛盾多了方知胸怀可贵;委屈多了方知修炼可贵;恭维多了方知真诚可贵…名利多了方知淡定可贵；应酬多了方知宁静可贵；岁数大了方知童年可贵；祝周末愉快!, ,0
演出结束了。, ,0
"大屏幕上,梦中的娃娃还在沉睡。无伴奏的歌声悄然伴随。战士们的钢枪永远不会睡,永远在守卫。玫瑰的花香才能让人心醉。", ,0
"一,二,三,四。不但是口号,也是战士们的歌。军营的生活中,哪里有战士,哪里就有一,二,三,四。哪个角落中能听到一,二,三,四,哪里就有＂我＂。", ,0
"一棵小白杨,吸引了全场的掌声。有节奏的掌声跟随着歌声,牵动着观众的心。", ,0
"举杯吧朋友。也许他没有能力帮助你,但至少会用同情之心关注着你。", ,0
"献给母亲的歌,不仅对战士,也是对所有人而言都心情澎湃的激荡。到什么时候都不能忘了咱的妈！", ,0
"野外训练的场面。勾起陈年的记忆。兵的十多年经历,尽管已过去多年,却永远不会忘记。天有情,地有情,最难忘战友情。无亲无故却日夜相守,生死相交。", ,0
"＂夜深人静的时候,是想家的时候。＂母亲说：最苦的树,开最香的花。远行的儿子最想家。战士的心不管在天涯海角都牵挂着母亲,牵挂着家。", ,0
"＂军旗下的我们＂用热血和荣誉捍卫着人民。和平时代,只能在抗震救灾中看到战士们冲锋在前的身影。其实他们就在我们的生活之中。", ,0
"＂拉着战友的手,舍不得让你走＂铁打的营房,流水的兵。每逢此时此刻总会留下许多回忆。", ,0
"＂你不认识我,我也不寂寞,你不熟悉我,我也还是我。＂军人的本色。", ,0
"钢枪,玫瑰。没有钢枪的保卫,哪有盛开的玫瑰？钢枪与玫瑰相随。", ,0
这张能看清楚吗？军队特有的舞台艺术。, ,0
"战士们从天而降,将鲜花洒向舞台,将歌声献给英雄。", ,0
"＂说句心里话＂是第一首歌。熟悉的弦律,熟悉的歌词,重敲战鼓声,我来保卫家。", ,0
"战士的军旅生活,成为开场白。有特色。", ,0
"李长春,王刚,刘延东,徐才厚等领导都到了现场,更有许多演员,歌手,名人前来观看。场面很壮观。", ,0
"老朋友的演唱会,不能不来捧场。曾经的一名老兵,还是喜欢这些钢阳之气的歌的。仿佛又回到了那个特殊的年代,又回忆起年轻时的磨练和钢铁意志的培育。人生的每个阶段都有其特殊的意义。", ,0
北京台也参与了对一潘的围剿。, ,0
"下午庆祝华远成立二十八周年,在大会堂举办第二十五届桥牌赛。许多老领导,老朋友前来祝贺,欢聚一堂。万老爷子九十多岁,耳听不清,但头脑清楚,仍还健康。桥牌可以治疗老年痴呆,也可以给老年人带来欢乐。", ,0
"《观世》：世事如棋局,不迷离才算高手；人生如瓦顶,打破了方见真空；为官如履冰,站稳了始见脚力；从政如弹琴,调顺了即是高段；处世如演戏,妆卸了方显本色；名利如幻梦,淡然之堪称智者！", ,0
"北京污染的天空,失去了秋高气爽的美,只剩下了忧郁。让愉快的周末也少了一份欢乐。", ,0
(2/2)青睐你。周末愉快!, ,0
"(1/2)【心跟爱一起走】1、心存希望,幸福就会降临你；2、心存梦想,机遇就会笼罩你；3、心存坚持,快乐就会常伴你；4、心存真诚,平安就会跟随你；5、心存善念,阳光就会照耀你；6、心存美丽,温暖就会围绕你；7、心存大爱,崇高就会追随你；8、心存他人,真情就会回报你；9、心存感恩,贵人就会", ,0
"（英国）托犯焕铡扼鹧约罚骸耙桓雒髦堑娜俗苁亲プ』觯阉涑擅篮玫奈蠢础！ 智者的机缘不是坐等来的,而是创造的机会；有了机遇,就要抓住做成；把成功做铺垫,升华自己；象打仗一样,攻克一个据点,建立一个根据地,而不是成为包袱；将成功化做能源、动力,精进不止。", ,0
"《处世要诀》：1、水低成海,人低成王；2、圣者无名,大者无形；3、鹰立如睡,虎形似病；4、贵而不显,华而不炫；5、韬光养晦,深藏不露；6、才高不自诩,位高不自傲；7、路径窄处留一步让人行；8、滋味浓时,减三分请人尝。", ,0
北京的机场路为啥车越来越多？是因为不收费吗？, ,0
(2/2)想着相聚和发短信给你的人：友人！, ,0
(1/2)〖论人〗①几乎不犯前人犯过的错误：圣人！②几乎不重复自己犯过的错误：伟人！③能在挫折和不幸中坚持下来：强人！④能够解决得了难题：能人！⑤不苟求个人名利：大人！⑥做事特别与众不同：名人！⑦看得透自然、社会与人生：哲人！⑧可以扶持别人：贵人！⑨与你相濡以沫的人：亲人！⑩经常, ,0
"如果你宽容别人,恰似一江春水向心流,会让别人在温煦的氛围里倍感亲切。如果你宽容别人,恰似一树春花笑心底,会让别人在美好的时间里倍感亲情。如果你宽容别人,恰似一丝春风暖心田,会让别人在融洽的意境里倍感亲密。", ,0
"蒋效愚奥运组委会执行副主席致辞。捐赠火炬以表对毛主席的敬仰,对湖南人民的情意。火炬进毛主席纪念馆也是对中国奥运精神的推广有重要意义。", ,0
"奥运火炬,残奥会火炬捐赠仪式开始。", ,0
"再进韶山冲,崇敬献花篮。上次来时纪念馆的领导希望北京的朋友能帮助为毛主席纪念馆寻找奥运火炬做为展品,以向中外友人展示中国的奥运精神。经与原北京奥组委联系,这次专门来赠送火炬。", ,0
乔家大院对联： “读书即未成名究竟人品高雅; 修德不期获报自然梦稳心安。”, ,0
"1,有所得是低端快乐,无所求才是至高享受。 2,为最坏的情况作了充分准备,较好的情况就会相随而来。 3,往上爬时要对别人好一点,因为下坡时还会遇到他们。 4,健忘是一种难堪的病态,善忘则是一种难得的境界。", ,0
"年轻时看远,中年时看透,年老时看淡：看远:才能揽物于胸,只看眼前美景,难见山外之山；看透:天下熙熙,皆为名来,天下攘攘,皆为利往；看淡:不是不求进取,也不是无所作为,更不是没有追求,而是宁静致远,坦然和安祥,不以物喜不以己悲,离尘嚣远一点,离自然近一点,淡泊就在其中。", ,0
"许多人喜欢预支明天的烦恼,想要早一步解决掉明天的烦恼。明天如果有烦恼,你今天是无法解决的,每一天都有每一天的人生功课要交,努力做好今天的功课再说吧！用平常的心对待每一天,用感恩的心对待当下的生活,我们才能理解生活和快乐的真正含义！", ,0
"活着是短暂的,别腻。欲望是无穷的,别贪。身体是自己的,别轻。工作是大家的,别抢。困难是客观的,别怕。钞票是消费的,别攒。生活是丰富的,别烦。假期是休闲的,别忙。感情是纯洁的,别污。朋友是永远的,别忘。祝周末愉快！", ,0
(1/2)人生难处：最难描绘：梦境；最难重复：过去；最难把握：情感；最难相信：忠诚；最难提高：身高；最难改变：出身；最难统一：思想；最难做到：真实；最难处理：关系；最难邂逅：机遇；最难实现：公平；最难得到：自由；最难分配：利益；最难放弃：名利；最难平衡：心态；最难控制：情绪；最难, ,0
(2/2)战胜：自己。, ,0
"【度】在工作上,能力不敌态度；在成功上,才华不敌韧度；在知识上,广博不敌深度；在思想上,敏锐不敌高度；在做人上,精明不敌气度；在做事上,速度不敌精度；在看人上,外貌不敌风度；在写作上,文采不敌角度；在方法上,创意不敌适度。", ,0
"长沙小雨。股票涨了,天气温度降了。", ,0
总有人问？发个封面让大家看看。今天的大餐。, ,0
"(2/2)一个胡萝卜,同其他人不大一样,又大体上一样！", ,0
"(1/2)《智言哲语》1、你可以用笑容改变别人,但不要让别人改变了你的笑容。2、发现自己的错误,就是开悟；改正自己的错误,就是成就。3、所谓孤独,就是你面对的那个人,他的情绪和你的情绪,不在同一个频率。4、不要去尝试做些能力之外的事情,否则就永远无法成长。5、在人类社会中,每个人都象", ,0
